neighbourhood,date,forecast,lower_95,upper_95
Arbutus Ridge,2026-01-01,18.13919309352063,4.924691835155473,31.353694351885785
Arbutus Ridge,2026-02-01,15.839379215424191,2.624877957059036,29.05388047378935
Arbutus Ridge,2026-03-01,19.53935968317203,6.324858424806875,32.753860941537184
Arbutus Ridge,2026-04-01,16.939399511502625,3.7248982531374697,30.153900769867782
Arbutus Ridge,2026-05-01,18.939024002139725,5.724522743774569,32.15352526050488
Arbutus Ridge,2026-06-01,19.638904353977132,6.424403095611977,32.853405612342286
Central Business District,2026-01-01,822.6547230697784,640.1291106011547,1005.180335538402
Central Business District,2026-02-01,753.4570664929083,570.9314540242847,935.982678961532
Central Business District,2026-03-01,813.7404377150784,631.2148252464548,996.2660501837021
Central Business District,2026-04-01,762.7487105861628,580.2230981175392,945.2743230547865
Central Business District,2026-05-01,784.5661681877725,602.0405557191489,967.0917806563962
Central Business District,2026-06-01,778.72390052681,596.1982880581863,961.2495129954336
Dunbar-Southlands,2026-01-01,20.859221439519946,5.700779521827341,36.01766335721255
Dunbar-Southlands,2026-02-01,16.158985197642494,1.0005432799498895,31.3174271153351
Dunbar-Southlands,2026-03-01,18.35918723921236,3.200745321519756,33.51762915690497
Dunbar-Southlands,2026-04-01,20.75897074255213,5.600528824859525,35.917412660244736
Dunbar-Southlands,2026-05-01,17.458528700286273,2.3000867825936684,32.61697061797888
Dunbar-Southlands,2026-06-01,22.65869964020608,7.500257722513476,37.81714155789869
Fairview,2026-01-01,120.73302223046204,77.84287280921521,163.62317165170887
Fairview,2026-02-01,114.4347731245702,71.54462370332337,157.32492254581703
Fairview,2026-03-01,136.83642273850165,93.94627331725482,179.72657215974849
Fairview,2026-04-01,124.63218223156692,81.74203281032008,167.52233165281376
Fairview,2026-05-01,130.3295601926033,87.43941077135648,173.21970961385014
Fairview,2026-06-01,122.42803202625151,79.53788260500468,165.31818144749835
Grandview-Woodland,2026-01-01,122.65494447978256,80.69262386310177,164.61726509646334
Grandview-Woodland,2026-02-01,92.95650082445849,50.994180207777696,134.91882144113927
Grandview-Woodland,2026-03-01,125.06146744301594,83.09914682633516,167.02378805969673
Grandview-Woodland,2026-04-01,119.06156185759826,77.09924124091748,161.02388247427905
Grandview-Woodland,2026-05-01,112.87008925362537,70.90776863694458,154.83240987030615
Grandview-Woodland,2026-06-01,117.96462999846044,76.00230938177964,159.92695061514124
Hastings-Sunrise,2026-01-01,74.19683872530375,43.79591798667552,104.59775946393198
Hastings-Sunrise,2026-02-01,66.50098365362966,36.10006291500143,96.90190439225789
Hastings-Sunrise,2026-03-01,79.5022552239442,49.101334485315974,109.90317596257243
Hastings-Sunrise,2026-04-01,76.20555506323731,45.80463432460908,106.60647580186554
Hastings-Sunrise,2026-05-01,83.09942969299254,52.698508954364314,113.50035043162077
Hastings-Sunrise,2026-06-01,77.20328160821974,46.80236086959151,107.60420234684797
Kensington-Cedar Cottage,2026-01-01,139.4062565111471,100.31586173528093,178.49665128701326
Kensington-Cedar Cottage,2026-02-01,128.40591433714408,89.31551956127792,167.49630911301023
Kensington-Cedar Cottage,2026-03-01,140.40691002947767,101.31651525361151,179.49730480534384
Kensington-Cedar Cottage,2026-04-01,133.60788899341512,94.51749421754896,172.69828376928126
