TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2026,2,6,3,28,10XX DAVIE ST,West End,490469.9449,5458627.0837
Break and Enter Commercial,2026,1,18,0,0,10XX DENMAN ST,West End,489865.7016,5459587.088
Break and Enter Commercial,2026,1,11,5,23,10XX HAMILTON ST,Central Business District,491289.9261,5458241.3053
Break and Enter Commercial,2026,1,12,14,34,10XX HARO ST,West End,490899.2273,5458973.8647
Break and Enter Commercial,2026,1,14,17,42,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.2867
Break and Enter Commercial,2026,1,17,1,0,15XX RAND AVE,Marpole,489588.2983,5450352.8168
Break and Enter Commercial,2026,2,1,1,50,1XX E 48TH AVE,Sunset,492589.9056,5452653.6531
Break and Enter Commercial,2026,2,6,17,30,1XX E 8TH AVE,Mount Pleasant,492564.8245,5456773.3204
Break and Enter Commercial,2026,1,10,2,28,1XX E CORDOVA ST,Central Business District,492623.4698,5458851.1899
Break and Enter Commercial,2026,2,8,9,8,1XX E PENDER ST,Central Business District,492708.3343,5458626.968
Break and Enter Commercial,2026,1,7,9,13,1XX KEEFER PL,Central Business District,492123.0015,5458572.0278
Break and Enter Commercial,2026,1,30,20,0,1XX KEEFER ST,Central Business District,492720.2742,5458526.3289
Break and Enter Commercial,2026,1,13,4,19,1XX MILROSS AVE,Central Business District,492709.826,5458143.2014
Break and Enter Commercial,2026,2,4,13,14,10XX PACIFIC ST,West End,490351.6917,5458276.3433
Break and Enter Commercial,2026,1,6,4,12,10XX ROBSON ST,West End,491004.9767,5459024.4782
Break and Enter Commercial,2026,2,7,17,47,11XX E 7TH AVE,Mount Pleasant,494099.824,5456851.8578
Break and Enter Commercial,2026,2,10,0,14,16XX ADANAC ST,Grandview-Woodland,494801.8464,5458312.3244
Break and Enter Commercial,2026,1,17,1,13,16XX COMMERCIAL DR,Grandview-Woodland,494927.9168,5457487.0523
Break and Enter Commercial,2026,1,4,0,0,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554
Break and Enter Commercial,2026,1,12,15,9,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554
Break and Enter Commercial,2026,1,4,2,59,16XX MANITOBA ST,Mount Pleasant,492238.1676,5457536.7536
Break and Enter Commercial,2026,1,18,4,5,22XX W 4TH AVE,Kitsilano,488708.5682,5457281.97
Break and Enter Commercial,2026,2,11,4,49,22XX W 4TH AVE,Kitsilano,488708.5682,5457281.97
Break and Enter Commercial,2026,1,15,14,45,11XX HARO ST,West End,490733.3329,5459142.496
Break and Enter Commercial,2026,1,23,5,45,11XX JERVIS ST,West End,490237.3427,5458949.2599
Break and Enter Commercial,2026,2,12,4,44,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494115.304,5455524.7121
Break and Enter Commercial,2026,2,4,4,25,11XX STATION ST,Strathcona,492837.1855,5458016.1097
Break and Enter Commercial,2026,1,31,2,40,11XX SW MARINE DR,Marpole,490390.818,5450130.1504
Break and Enter Commercial,2026,1,9,1,26,11XX W BROADWAY AVE,Fairview,490561.2828,5456747.1562
Break and Enter Commercial,2026,1,19,0,15,17XX ALBERNI ST,West End,490245.3494,5459922.7012
Break and Enter Commercial,2026,1,11,11,0,17XX E HASTINGS ST,Grandview-Woodland,494940.3475,5458719.0045
Break and Enter Commercial,2026,1,11,18,5,17XX NELSON ST,West End,490026.1983,5459531.4312
Break and Enter Commercial,2026,2,8,23,0,24XX ST GEORGE ST,Mount Pleasant,493229.3441,5456672.7079
Break and Enter Commercial,2026,1,19,11,43,25XX CAROLINA ST,Mount Pleasant,493371.2045,5456627.7971
Break and Enter Commercial,2026,1,1,5,30,25XX E BROADWAY AVE,Hastings-Sunrise,496032.5121,5456589.6063
Break and Enter Commercial,2026,1,29,4,39,25XX GRANVILLE ST,Fairview,489924.3139,5456691.585
Break and Enter Commercial,2026,2,4,16,38,25XX QUEBEC ST,Mount Pleasant,492503.9191,5456681.418
Break and Enter Commercial,2026,2,10,0,58,25XX W 16TH AVE,Kitsilano,488020.6571,5456109.2937
Break and Enter Commercial,2026,1,12,23,59,26XX COMMERCIAL DR,Kensington-Cedar Cottage,494924.705,5456496.7831
Break and Enter Commercial,2026,1,10,22,44,26XX GRANDVIEW HWY S,Renfrew-Collingwood,496182.648,5456083.496
Break and Enter Commercial,2026,1,8,3,0,26XX MAIN ST,Mount Pleasant,492654.5685,5456549.4776
Break and Enter Commercial,2026,2,7,20,28,26XX NANAIMO ST,Kensington-Cedar Cottage,495877.5058,5456445.2186
Break and Enter Commercial,2026,2,7,3,26,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Break and Enter Commercial,2026,1,17,4,30,27XX E HASTINGS ST,Hastings-Sunrise,496593.169,5458716.8218
Break and Enter Commercial,2026,1,23,13,30,3XX E BROADWAY AVE,Mount Pleasant,492933.9023,5456669.3903
Break and Enter Commercial,2026,1,16,2,30,12XX DAVIE ST,West End,490286.0757,5458800.8438
Break and Enter Commercial,2026,2,12,11,47,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,1,15,5,31,12XX GRANVILLE ST,Central Business District,490713.5555,5458170.1883
Break and Enter Commercial,2026,1,19,2,52,12XX W BROADWAY AVE,Fairview,490326.6692,5456753.3296
Break and Enter Commercial,2026,1,7,13,18,18XX VICTORIA DVRS,Kensington-Cedar Cottage,495168.24,5455595.7935
Break and Enter Commercial,2026,1,14,6,32,18XX W 4TH AVE,Kitsilano,489265.2275,5457268.0547
Break and Enter Commercial,2026,2,3,7,35,18XX W 4TH AVE,Kitsilano,489295.1674,5457258.0823
Break and Enter Commercial,2026,1,28,18,0,18XX W BROADWAY AVE,Kitsilano,489363.6694,5456786.6109
Break and Enter Commercial,2026,1,29,5,34,18XX W BROADWAY AVE,Kitsilano,489363.6694,5456786.6109
Break and Enter Commercial,2026,2,11,23,22,19XX CORNWALL AVE,Kitsilano,489177.8567,5457763.2413
Break and Enter Commercial,2026,1,5,2,30,19XX SCOTIA ST,Mount Pleasant,492854.1081,5457215.1597
Break and Enter Commercial,2026,1,1,8,30,1XX CARRALL ST,Central Business District,492413.6644,5458979.8195
Break and Enter Commercial,2026,2,8,8,17,27XX KINGSWAY AVE,Renfrew-Collingwood,496489.5461,5453833.4889
